transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K01995.01,14.38724729,1.9078,1914.1,29.24,725.0,65.41,5830.0,0.859,4.479
K07825.01,0.566796615,1.999,47.8,0.59,2077.0,4426.68,5858.0,0.849,4.553
K03951.01,2.40435335,4.07,70.6,3.05,2454.0,8577.88,6103.0,3.358,3.568
K03952.01,220.9290121,7.335,2456.5,5.24,299.0,1.89,5893.0,0.941,4.483
K07846.01,10.5994606,9.484,128.8,1.28,896.0,152.67,6194.0,1.069,4.445
K07826.01,9.087508013,2.7597,140.6,1.37,987.0,224.7,6078.0,1.119,4.297
K01620.01,0.959853772,1.9163,55.8,1.3,2468.0,8768.54,6061.0,1.653,4.025
K03963.01,6.63449721,22.982,919.1,85.25,1719.0,2067.13,6487.0,2.817,3.696
K01657.01,3.88673217,20.491,761.7,21.04,1050.0,287.4,5798.0,0.767,4.589
K02881.01,0.903583394,1.5942,1027.1,33.18,2162.0,5162.98,6455.0,1.101,4.41
K00918.02,5.71489488,2.0705,292.5,1.41,908.0,160.68,5552.0,0.833,4.555
K02993.01,0.692693892,1.2804,1433.7,32.44,2050.0,4160.84,5907.0,0.964,4.49
K03006.01,0.998212785,2.489,118.8,1.1,1888.0,2998.77,6072.0,0.988,4.47
K00068.01,1.000840564,1.3292,2714.4,80.25,3367.0,30248.83,6287.0,3.177,3.558
K00339.03,35.8656484,8.035,250.9,2.44,633.0,37.92,6078.0,1.189,4.29
K05275.01,3.781123,8.15,90.4,1.16,1421.0,962.72,6318.0,1.216,4.247
K05277.01,634.84739,16.186,542.6,20.5,464.0,10.97,5048.0,8.611,2.978
K05036.01,289.490952,3.91,773.0,2.87,290.0,1.66,5978.0,1.032,4.408
K05157.01,0.782068488,1.239,115.7,21.02,6169.0,343029.57,4475.0,20.237,2.113
K05162.01,628.15844,12.144,502.3,0.95,101.0,0.03,3697.0,0.423,4.829
